raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
488.99296157155493,553.755740348072,566.896792355498,0.4999951422214508,featset,base48,2024.0,46.0,,,,,,,,,,,,,,,,,
266.2532185758515,203.91272014920193,269.108281081476,0.4972397983074188,featset,base48,2023.0,46.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,deconv,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,deconv,2023.0,74.0,,,,,,,,,,,,,,,,,
606.916455504769,657.0528795276754,670.1760363212906,0.4986339211463928,featset,full,2024.0,90.0,,,,,,,,,,,,,,,,,
414.39460378438486,358.1337791693007,423.5856400759963,0.4951131045818329,featset,full,2023.0,90.0,,,,,,,,,,,,,,,,,
620.6898050668098,669.3051359158985,682.3925022819033,0.49847841262817383,featset,no_clutch,2024.0,85.0,,,,,,,,,,,,,,,,,
397.1867427118414,341.13453435499207,406.6638813004619,0.4950510561466217,featset,no_clutch,2023.0,85.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,no_tm,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,no_tm,2023.0,74.0,,,,,,,,,,,,,,,,,
,,,,search,,,,52.0,552.0939241542733,641.0128028831119,691.5071311821896,704.6302879758159,0.4986632764339447,463.17504542543463,406.1095580999985,471.23955392254226,0.49545004963874817,800.0,0.08,4.0,1000.0,0.6,0.6,20.0
,,,,search,,,,53.0,685.2440340273713,747.2328269849227,779.0624472807206,791.9231409384664,0.49665260314941406,623.25524106982,570.2547905478084,635.4384305510386,0.49444395303726196,800.0,0.02,8.0,1000.0,0.6,0.4,1.0
,,,,search,,,,54.0,677.628813069453,753.066666686808,790.3125716956172,803.1136146406603,0.4972788989543915,602.190959452098,548.9461298847087,614.5052791527772,0.4943965673446655,800.0,0.02,6.0,400.0,1.0,0.4,1.0
,,,,search,,,,55.0,586.739897150379,673.8863106511284,719.0061097360978,731.9682096054381,0.4981232285499573,499.59348364962966,443.8273775898005,509.1004245608599,0.49506524205207825,1200.0,0.02,7.0,400.0,0.6,0.6,5.0
,,,,search,,,,56.0,736.0006862218771,771.2064484183601,803.6504710549508,816.4097585011132,0.49672818183898926,700.7949240253942,651.561487080743,716.8345340518023,0.4936314821243286,800.0,0.02,4.0,1000.0,0.8,0.4,100.0
,,,,search,,,,57.0,690.2650551044998,745.4969912453979,782.5042934034077,795.376917203694,0.49725401401519775,635.0331189636016,585.3764890379476,650.7925871575115,0.49367207288742065,500.0,0.03,6.0,400.0,0.6,0.8,5.0
,,,,search,,,,58.0,0.0,0.0,0.0,0.0,0.5013662576675415,0.0,0.0,0.0,0.5013076663017273,2000.0,0.08,7.0,150.0,1.0,0.6,20.0
,,,,search,,,,59.0,152.72684183512132,305.45368367024264,375.614851945949,389.1197733008389,0.5004794001579285,0.0,0.0,0.0,0.49563515186309814,2000.0,0.05,6.0,1000.0,0.6,0.4,20.0
0.0,0.0,0.0,0.5352451801300049,nn,TabM+FiLM,2024.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.48264646530151367,nn,TabM+FiLM,2023.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.48168841004371643,nn,TabM(FiLM없음),2024.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.48483678698539734,nn,TabM(FiLM없음),2023.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.5131696462631226,nn,단일MLP+FiLM,2024.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.4895904064178467,nn,단일MLP+FiLM,2023.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.5432989597320557,nn,TabM+강한정규화,2024.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.4758946895599365,nn,TabM+강한정규화,2023.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.4934869408607483,nn,TabM작은모델,2024.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.46568647027015686,nn,TabM작은모델,2023.0,,,,,,,,,,,,,,,,,,
