raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,epochs,shrink,nn,w
613.6987415385709,647.8607047008644,660.7213983586213,0.4969162344932556,A,base48,2024.0,46.0,,,,,,,,,,,,,,,,,,,,,,
471.1561074192461,406.3360557517992,471.95480966508717,0.49853014945983887,A,base48,2023.0,46.0,,,,,,,,,,,,,,,,,,,,,,
781.6990087819886,808.8937687011244,821.6590212185571,0.4960932731628418,A,deconv,2024.0,69.0,,,,,,,,,,,,,,,,,,,,,,
714.2178901270113,664.2751579043371,729.7449002045986,0.49372410774230957,A,deconv,2023.0,69.0,,,,,,,,,,,,,,,,,,,,,,
787.3896867733987,821.7067417887191,834.4719943061407,0.4969450533390045,A,deconv+tm,2024.0,85.0,,,,,,,,,,,,,,,,,,,,,,
705.9805281587894,653.9158705665903,719.3319686861544,0.4941845238208771,A,deconv+tm,2023.0,85.0,,,,,,,,,,,,,,,,,,,,,,
776.2171082850156,803.3462524201896,816.0995747950817,0.4960831105709076,A,deconv+cl,2024.0,74.0,,,,,,,,,,,,,,,,,,,,,,
712.5072368094454,662.695634806243,728.1415352484055,0.4937068819999695,A,deconv+cl,2023.0,74.0,,,,,,,,,,,,,,,,,,,,,,
785.8089428868898,815.5030676680997,828.2623551142509,0.4963979721069336,A,full,2024.0,90.0,,,,,,,,,,,,,,,,,,,,,,
703.7036307117162,650.3038290667785,715.6782039346998,0.494493693113327,A,full,2023.0,90.0,,,,,,,,,,,,,,,,,,,,,,
,,,,B,,,,53.0,749.1428198128369,777.1357292605696,811.4527842758789,824.2180367933116,0.49694204330444336,721.1499103651042,671.2548618586056,736.623276261994,0.4937441051006317,600.0,0.02,4.0,1500.0,0.9,0.7,200.0,0.0,,,,
,,,,B,,,,54.0,731.5998469503149,742.8306043877897,759.9443938609229,772.6022750955019,0.4947361648082733,720.3690895128401,663.9830951428061,729.4230351204578,0.4952066242694855,600.0,0.012,3.0,600.0,0.7,0.7,800.0,1.0,,,,
,,,,B,,,,55.0,689.9809405839619,696.6191972604396,719.1850618741946,731.7892574673413,0.4954874813556671,683.3426839074841,617.9742695040846,683.8493233917831,0.4988422393798828,150.0,0.02,5.0,600.0,0.9,0.3,50.0,10.0,,,,
,,,,B,,,,56.0,675.6438973960887,691.1134364783856,705.4296075259758,718.0457332616519,0.4943141043186188,660.174358313792,597.2139715769375,662.9161719935217,0.4973360002040863,400.0,0.012,3.0,4000.0,0.5,0.3,800.0,10.0,,,,
,,,,B,,,,57.0,650.1617006259786,649.3877629459411,680.8952693931669,693.4815697725028,0.49660927057266235,650.9356383060161,585.0009797731204,650.9535196995819,0.4997667074203491,400.0,0.005,5.0,4000.0,0.5,0.7,10.0,1.0,,,,
,,,,B,,,,58.0,695.7190209457342,699.5540123251875,715.6477746111833,728.3116209170327,0.49458760023117065,691.8840295662809,628.9355637584704,694.6258432460106,0.49732843041419983,900.0,0.005,3.0,600.0,0.5,0.3,50.0,1.0,,,,
,,,,B,,,,59.0,479.4510324894141,433.32691648152456,533.0509779705062,545.6014879222204,0.5028490424156189,525.5751484973036,476.7410626755564,543.0869932604221,0.5065508484840393,150.0,0.008,3.0,1500.0,0.9,0.7,200.0,0.0,,,,
,,,,B,,,,60.0,714.2327417090866,747.2030016285713,781.2158380091305,794.0407412392548,0.4969117045402527,681.2624817896018,631.58201000586,697.0696336996763,0.49365708231925964,400.0,0.03,6.0,200.0,0.7,0.7,10.0,0.0,,,,
,,,,B,,,,61.0,755.7106531719481,783.3036129535675,803.244846208595,815.9146575857146,0.49513664841651917,728.1176933903288,671.815145523591,737.1775994624685,0.4952085316181183,400.0,0.02,6.0,1500.0,0.5,0.5,800.0,1.0,,,,
,,,,B,,,,62.0,701.512593796838,730.4292212178209,738.022756944312,750.6388826799881,0.49321916699409485,672.5959663758551,609.9753261167074,675.6536846752037,0.4971882998943329,150.0,0.03,5.0,4000.0,0.5,0.3,800.0,1.0,,,,
